id,author,tag,text,detail,filters,has_diagram
sa1,saussure,"Segno diadico","Il segno linguistico è un'entità psichica a due facce: significante (immagine acustica) e significato (concetto).","Non unisce una cosa e un nome, ma un concetto e un'immagine acustica. I due sono intimamente uniti: come recto e verso di un foglio di carta — non si può ritagliare l'uno senza l'altro. Esempio: il segno /albero/ non unisce l'oggetto albero alla parola 'albero', ma il concetto «albero» all'immagine acustica /albero/. Il segno è un dominio chiuso, «esistente per se stesso» — ed è questa chiusura che lo rende 'ristretto' nella lettura di Eco.","segno",segnoDiadico
sa2,saussure,"Arbitrarietà","Il legame tra significante e significato è arbitrario: non c'è alcun rapporto naturale tra i due.","L'idea di «sorella» non è legata da rapporto interno alla sequenza fonica s-o-r-e-l-l-a. Potrebbe essere qualunque altra sequenza: prova ne sia che in francese è sœur, in tedesco Schwester. Paradosso dell'arbitrarietà: la scelta è libera (nessuna ragione naturale), MA il tempo fissa la scelta rendendola obbligatoria. Diciamo uomo e cane perché prima di noi si è detto uomo e cane. Arbitrario e differenziale sono due qualità correlative: il segno è arbitrario perché è differenziale, e differenziale perché è arbitrario.","segno; forma",
sa3,saussure,"Valore differenziale","Nella lingua non ci sono se non differenze, senza termini positivi: il valore è puramente differenziale e negativo.","Valore ≠ significazione. La significazione è il rapporto interno significante↔significato. Il valore è la posizione del segno nel sistema: un segno è ciò che gli altri non sono. Esempio classico: fr. mouton ≠ ingl. sheep/mutton — in francese un solo termine copre l'animale vivo e la carne; in inglese due termini diversi. Mouton e sheep non hanno lo stesso valore perché il sistema è diverso. Il valore opera su entrambi i piani: concettuale (significato come posizione) e materiale (il suono conta per le differenze foniche che lo distinguono, non per le sue qualità positive).","segno; significato; forma",valoreMouton
sa4,saussure,"Sistema di differenze","La lingua è un sistema in cui tutti i termini sono solidali: il valore dell'uno risulta dalla presenza simultanea degli altri.","Analogia degli scacchi: come negli scacchi, ogni pezzo ha valore per la sua posizione nel gioco, non per la materia di cui è fatto. Un cavallo di legno sostituito da uno d'avorio funziona allo stesso modo, purché occupi la stessa posizione nel sistema. Se viene eliminato un pezzo, tutti gli altri cambiano valore. La lingua non è una nomenclatura (lista di etichette sulle cose) ma un sistema di rapporti differenziali.","forma; significato",valoreScacchi
sa5,saussure,"Langue / Parole / Langage","La langue è il sistema sociale condiviso; la parole è l'atto individuale. La linguistica studia la langue.","Langage (facoltà generale del linguaggio) → troppo eterogeneo per essere oggetto scientifico. Si scinde in: Langue (codice sociale, «tesoro depositato dalla pratica della parole nei soggetti appartenenti a una stessa comunità», sistematico, essenziale) e Parole (atto individuale di fonazione, combinatorio, accessorio). Attenzione: non è dicotomia rigida — sono interdipendenti. La langue si deposita dalla sedimentazione della parole; la parole presuppone la langue per essere intelligibile.","forma",
sa6,saussure,"Sintagmatico / Associativo","Due assi: sintagmatico (in praesentia, nella catena) e associativo (in absentia, nella memoria). NON 'paradigmatico'.","Asse sintagmatico: rapporti nella catena del discorso. In-segn-amento: ogni elemento ha valore per opposizione a ciò che precede e segue. Asse associativo: rapporti nella memoria. Insegnamento evoca: educazione, apprendimento (per significato); armamento, cambiamento (per forma); insegnare, insegnante (per radice). NOTA CRUCIALE: Saussure dice «associativo», MAI «paradigmatico». Il termine 'paradigmatico' è introdotto da Hjelmslev. Usare 'paradigmatico' per Saussure è un anacronismo.","forma",assiSaussure
sa7,saussure,"Progetto semiologico","Si può concepire una scienza dei segni in seno alla vita sociale: la semiologia. La linguistica ne è solo una parte.","Saussure immagina una «scienza che studi la vita dei segni in seno alla vita sociale»: la semiologia. La linguistica ne sarebbe solo una parte, sebbene la parte principale. Paradosso del progetto semiologico: la lingua, pensata come caso particolare, finisce per diventare il modello per tutti i sistemi di segni. Eco chiama questo il «ricatto del segno linguistico»: la semiologia avrebbe dovuto liberare il segno dalla linguistica, ma ha finito per imporre il modello linguistico a tutta la semiotica.","segno; storia",
sa8,saussure,"Immutabilità / Mutabilità","Immutabilità e mutabilità coesistono: il segno non cambia per volontà, ma il tempo lo altera.","Immutabilità: la massa parlante non può cambiare il segno a piacere. Quattro ragioni: (1) carattere arbitrario (nessuna base razionale per contestarlo); (2) moltitudine dei segni; (3) complessità del sistema; (4) resistenza dell'inerzia collettiva. Mutabilità: il tempo, che assicura la continuità, produce anche alterazione — spostamento del rapporto significante/significato. Esempio: lat. necare (=uccidere) → fr. noyer (=annegare): il significante è rimasto simile ma il significato si è spostato.","segno; forma",
sa9,saussure,"Forma, non sostanza","La lingua non è un mezzo fisico per l'espressione delle idee: questa combinazione produce una forma, non una sostanza.","«Il ruolo caratteristico della lingua di fronte al pensiero non è creare un mezzo fisico materiale per l'espressione delle idee, ma servire da intermediario tra pensiero e suono». Il pensiero, «caotico per natura, è forzato a precisarsi decomponendosi». Metafora dell'aria e dell'acqua: se la pressione atmosferica cambia, la superficie dell'acqua si decompone in onde — la lingua è come questa superficie, zona di articolazione tra due masse amorfe. «Questa combinazione produce una forma, non una sostanza» — frase capitale per Hjelmslev.","forma; significato",foglioDiCarta
sa10,saussure,"Linearità del significante","Il significante è lineare: si sviluppa nel tempo, e questo carattere governa tutto il meccanismo della lingua.","Principio di linearità: gli elementi del significante si presentano uno dopo l'altro nella catena parlata, formando una linea temporale. Non si possono pronunciare due fonemi contemporaneamente. Esempio: /g-a-t-t-o/ si sviluppa in sequenza, non simultaneamente. Questo principio governa l'organizzazione sintagmatica e distingue la lingua da sistemi semiotici visivi (dove più elementi coesistono simultaneamente).","forma",
pe1,peirce,"Anti-intuizionismo","Non abbiamo alcuna facoltà di intuizione: ogni cognizione è determinata logicamente da cognizioni precedenti.","Questions Concerning Certain Faculties (1868). Prima delle quattro negazioni anti-cartesiane. Contro Cartesio: non esiste una conoscenza immediata, non-inferenziale, non determinata da cognizioni precedenti. Esempio di Peirce: quando entriamo in una stanza e avvertiamo un odore sgradevole, non abbiamo un'«intuizione» immediata dell'odore — abbiamo un'inferenza istantanea basata su segni precedenti (sensazioni fisiche, memorie, confronti). Il regresso è infinito: non c'è un 'primo' pensiero puro.","epistemologia",
pe2,peirce,"Anti-introspezione","Non abbiamo alcuna facoltà di introspezione: la conoscenza del mondo interno è inferita da fatti esterni.","Seconda negazione (1868). Non c'è accesso diretto e privilegiato alla propria mente. Anche la conoscenza di sé è mediata da segni esterni. Esempio di Peirce: un bambino che tocca una stufa calda: non ha un'«intuizione» immediata del dolore come stato interno — inferisce il proprio stato interiore dalla percezione del contatto e della reazione corporea. Il «cogito ergo sum» cartesiano è esso stesso un'inferenza, non un'intuizione.","epistemologia; soggetto",
pe3,peirce,"Pensiero = Segno","Non abbiamo alcuna capacità di pensare senza segni: il pensiero stesso È intrinsecamente segnico.","Terza negazione (1868). Il pensiero non è un'attività 'interna' che si esprime 'esternamente' tramite segni: il pensiero È segno. Non esiste pensiero pre-segnico o a-segnico. Esempio: provate a pensare al concetto di «giustizia» senza usare parole, immagini, simboli: è impossibile. Anche il pensiero più astratto è costituito da segni. Conseguenza radicale: la dicotomia mente/linguaggio viene abolita.","segno; epistemologia; soggetto",
pe4,peirce,"Anti-incognoscibile","Non abbiamo alcuna concezione dell'assolutamente incognoscibile: ciò che è al di fuori di ogni cognizione non ha senso.","Quarta negazione (1868). Il «noumeno» kantiano, la cosa-in-sé assolutamente inaccessibile, non ha senso come concetto. Il reale è ciò verso cui converge l'indagine della comunità, non una cosa-in-sé per principio inaccessibile. NB: Peirce non nega l'esistenza del reale — nega che il reale sia per principio inconoscibile. Lo definisce come il limite ideale della ricerca.","epistemologia",
pe5,peirce,"Man is a sign","L'uomo stesso è un segno: «ogni pensiero-segno è tradotto o interpretato in uno susseguente» (CP 5.284).","Some Consequences of Four Incapacities (1868). «Man is a sign». La coscienza non è il fondamento dell'esperienza ma un prodotto del processo segnico. L'uomo è inserito nel flusso della semiosi, non ne è l'osservatore esterno. Conseguenza: il dualismo soggetto/oggetto viene superato. Il «soggetto» non precede il segno: è costituito da segni. Questa tesi può essere vista come anticipazione del cognitivismo 4E (mente estesa).","segno; soggetto; epistemologia",
pe6,peirce,"Segno triadico","Il segno è relazione triadica genuina e irriducibile: representamen, oggetto, interpretante.","Definizione (CP 2.228): «il segno, o representamen, è qualcosa che sta a qualcuno per qualcosa sotto qualche rispetto o capacità». Tre poli: Representamen (il veicolo segnico — la parola 'fuoco', l'impronta nella neve). Oggetto (ciò per cui il segno sta — il fuoco reale, l'animale che ha lasciato l'impronta). Interpretante (l'effetto significativo del segno — a sua volta un segno). La triade non si riduce a tre coppie diadiche: è relazione genuinamente a tre posti. L'interpretante è ciò che manca nel modello saussuriano e che lo rende 'ristretto'.","segno",triadePeirce
pe7,peirce,"Oggetto Immediato / Dinamico","Oggetto Immediato: come il segno presenta l'oggetto. Oggetto Dinamico: ciò che stimola e motiva il segno.","Distinzione cruciale. Oggetto Immediato: «l'Oggetto come il segno lo rappresenta» — la porzione dell'oggetto catturata dal segno. Oggetto Dinamico: l'oggetto reale che motiva il segno ma che il segno non esaurisce. Esempio: la parola «acqua» — l'Ogg. Immediato è il concetto linguistico di acqua (H₂O, liquido, trasparente…); l'Ogg. Dinamico è l'acqua reale in tutta la sua complessità inesauribile. Eco identifica: Ogg. Immediato ≈ forma del contenuto (Hjelmslev); Ogg. Dinamico ≈ materia/continuum.","segno; significato",oggettoIdDin
pe8,peirce,"Semiosi illimitata","La semiosi è illimitata: ogni interpretante è a sua volta un segno che genera nuovi interpretanti.","Ogni segno, manifestandosi a un interprete, produce effetti (interpretanti) che sono a loro volta segni — potenzialmente all'infinito. Esempio: la parola «gatto» → evoca l'immagine di un gatto → che evoca «felino» → che evoca «animale domestico» → «fa le fusa» → «adorato in Egitto»… Ogni passo allarga la comprensione. Non è regresso vizioso: si arresta provvisoriamente nell'abito — ma è sempre riattivabile.","segno; interpretazione",
pe9,peirce,"Abito / Habit","L'interpretante logico finale è un mutamento d'abito: la modifica della disposizione ad agire in determinate circostanze.","Tre tipi di interpretante: (1) Emozionale: sentimento prodotto dal segno (la «sensazione» di aver compreso). (2) Energetico: atto pratico, sforzo individuale (un gesto, un'azione). (3) Logico: concetto di natura generale — ma è ancora un segno e non può essere l'ultimo. L'unico interpretante genuinamente 'ultimo' è l'abito (habit): un mutamento di disposizione ad agire. Esempio: dopo aver imparato che il fuoco brucia, l'abito è la disposizione automatica a non toccare la fiamma. L'abito non è un segno, quindi non genera ulteriori interpretanti — ma è rivedibile.","segno; interpretazione; significato; pragmatismo",
pe10,peirce,"Massima pragmatica","Il significato di un concetto si identifica con l'insieme delle sue conseguenze pratiche concepibili.","How to Make Our Ideas Clear (1878). Massima pragmatica: «Consideriamo quali effetti, che possano concepibilmente avere conseguenze pratiche, noi concepiamo che l'oggetto della nostra concezione abbia. Allora la nostra concezione di questi effetti è l'intera nostra concezione dell'oggetto.» Tre gradi di chiarezza: (1) familiarità d'uso, (2) definizione astratta, (3) comprensione delle conseguenze pratiche. Esempio di Peirce: che significa 'duro'? Non una definizione astratta, ma: «non sarà scalfito da molte altre sostanze». Il significato è l'abito d'azione che il concetto produce.","significato; interpretazione; pragmatismo",
pe11,peirce,"Dubbio reale vs. fittizio","Il dubbio reale nasce da irritazione genuina, non da metodo: non si può dubitare di tutto per decisione.","The Fixation of Belief (1877). Contro il dubbio cartesiano (fittizio, «di carta»): non si può dubitare veramente di tutto — si dubita solo di ciò per cui si ha una ragione positiva di dubitare. Esempio: «Non potrei dubitare che questa è la mia mano» — il dubbio universale cartesiano non è un vero stato psicologico ma un artificio metodologico. L'indagine parte dall'irritazione del dubbio reale e mira alla fissazione della credenza: stato stabile che guida l'azione.","epistemologia; pragmatismo",
pe12,peirce,"Fissazione della credenza","Quattro metodi di fissazione della credenza: tenacia, autorità, a priori, scientifico. Solo l'ultimo è affidabile.","(1) Tenacia: aggrapparsi alla propria opinione. (2) Autorità: affidarsi a un'istituzione. (3) A priori: ragionamento puro, ma basato su «gusti intellettuali». (4) Scientifico: unico metodo che sottopone le ipotesi al vaglio della realtà esterna. Solo il metodo scientifico funziona a lungo termine perché presuppone un «reale» indipendente dalle opinioni individuali. La verità è il limite ideale verso cui converge la comunità degli indagatori nel lungo periodo.","epistemologia; pragmatismo",
pe13,peirce,"Icona / Indice / Simbolo","Icona (somiglianza), indice (connessione causale), simbolo (convenzione): nessun segno è puramente uno solo.","Tripartizione per rapporto con l'Oggetto. Icona: somiglianza con l'oggetto (ritratto, mappa, onomatopea). Indice: connessione causale/esistenziale (fumo→fuoco, banderuola→vento, impronta→animale). Simbolo: convenzione o legge (parole, segnali stradali, formule chimiche). Cruciale: nessun segno è puramente uno dei tre — contiene elementi delle tre modalità in proporzioni diverse. ATTENZIONE terminologica: il 'simbolo' peirciano (convenzionale) è l'opposto del 'simbolo' saussuriano (motivato, non del tutto arbitrario).","segno",iconaIndiceSimb
pe14,peirce,"Abduzione","L'abduzione è l'inferenza ipotetica: osservo un fatto sorprendente e ipotizzo una legge che lo spieghi.","Oltre deduzione e induzione, Peirce introduce l'abduzione: il processo con cui si genera un'ipotesi. Schema: osservo un Risultato sorprendente → ipotizzo una Legge → il fatto diventa un Caso di quella legge. Esempio medico (Eco): osservo macchie rosse sulla pelle (Risultato) → ipotizzo «morbillo» (Legge) → le macchie sono un Caso di morbillo. È il motore della scoperta scientifica e dell'interpretazione dei segni deboli.","interpretazione; epistemologia",
hj1,hjelmslev,"Principio di immanenza","«Una totalità non consiste di cose ma di rapporti»: la linguistica deve descrivere la lingua come struttura autosufficiente.","Principio di immanenza. La lingua va studiata come forma, non come sostanza. «Postulare gli oggetti come qualcosa di diverso dai termini dei rapporti è un assioma superfluo.» La teoria deve essere: (1) coerente (non-contraddittoria), (2) esaustiva (rendere conto di tutti i dati), (3) il più semplice possibile (principio empirico). Non è rifiuto della realtà esterna ma priorità metodologica: la descrizione formale viene prima.","forma",
hj2,hjelmslev,"Funzione segnica","Una semiotica è una funzione segnica contratta da due funtivi: il piano dell'espressione e il piano del contenuto.","I due piani sono solidali (interdipendenti): non c'è espressione senza contenuto né contenuto senza espressione. La funzione segnica è il rapporto che li unisce. Esempio: la parola /gatto/: il piano dell'espressione è la sequenza fonica [g-a-t-t-o]; il piano del contenuto è il concetto «piccolo felino domestico». L'analisi dell'uno non prescinde dall'altro.","segno; forma",
hj3,hjelmslev,"Forma del contenuto","La forma del contenuto è la rete di relazioni differenziali che ogni lingua proietta sulla materia amorfa dell'esperienza.","Come il continuum sonoro è segmentato in fonemi dalla forma dell'espressione, così il continuum dell'esperienza è segmentato dalla forma del contenuto. Esempio dei colori: la stessa zona dello spettro cromatico è divisa in 4 termini dall'inglese (green, blue, gray, brown) e in 3 dal gallese (gwyrdd, glas, llwyd). Stessa materia → forme diverse → sostanze diverse. Esempio dei termini di parentela: it. fratello/sorella (2 termini); cinese: xiōng/dì/zǐ/mèi (4 termini, distinguono maggiore/minore); malese: saudara (1 solo termine). NON è semantica: è la struttura differenziale interna, non il significato.","forma; significato",formaContenutoColori
hj4,hjelmslev,"Quadripartizione","Materia (continuum amorfo), forma (rete differenziale), sostanza (materia formata). La sostanza presuppone la forma.","Quadripartizione hjelmsleviana: per ciascun piano (espressione e contenuto) si distingue: Materia (mening, purport): il continuum amorfo, identico tra lingue. Forma: la rete di opposizioni e relazioni differenziali. Sostanza: la materia una volta formata — il risultato della proiezione della forma sulla materia. La sostanza presuppone la forma, non viceversa: data una forma, può manifestarsi in qualunque sostanza; ma data una sostanza, essa è necessariamente manifestazione di una forma.","forma",quadripartizione
hj5,hjelmslev,"Commutazione","Prova di commutazione: se lo scambio su un piano provoca scambio corrispondente sull'altro, i due sono invarianti.","Criterio empirico per distinguere invarianti (unità pertinenti) da varianti. Se lo scambio di un elemento sul piano dell'espressione provoca uno scambio corrispondente sul piano del contenuto → i due elementi sono invarianti. Esempio espressione: /p/ane → /b/ane: cambia il contenuto → /p/ e /b/ sono fonemi distinti (invarianti). Esempio variante: /r/ moscia vs. /r/ vibrante in 'roma': il contenuto non cambia → sono varianti dello stesso fonema. La prova è reversibile (funziona anche dal contenuto all'espressione) e necessita della sostanza per la verifica.","forma",commutazione
hj6,hjelmslev,"Figure / Non-segni","I segni si analizzano in figure (non-segni): fonemi (espressione) e semi/pleremi (contenuto).","Le figure sono gli elementi minimi non dotati di significato proprio, che compongono i segni. Espressione: i fonemi. /p/, /a/, /n/, /e/ compongono il segno 'pane' ma non sono segni. Contenuto: i semi (pleremi). «bovino + maschio» = toro; «bovino + femmina» = vacca; «equino + maschio» = stallone. Differenza cruciale: per i segni, stessa differenza di espressione = stessa differenza di contenuto; per le figure, stessa differenza → mutamenti diversi (pero/paro vs. meno/mano). Le figure permettono l'economia del sistema: un numero limitato di figure → infiniti segni.","segno; forma",
hj7,hjelmslev,"Denotazione / Connotazione","La semiotica connotativa ha come espressione un'intera semiotica denotativa. La metasemiotica ha come contenuto una semiotica.","Semiotica denotativa: il sistema base (espressione + contenuto in funzione segnica). Semiotica connotativa: l'intero segno denotativo diventa il piano dell'espressione di un ulteriore contenuto. Esempio: 'destriero' (segno denotativo: significante /destriero/ + significato «cavallo») → in quanto segno completo diventa espressione di: «arcaismo, letterarietà, registro aulico». Metasemiotica: il piano del contenuto è una semiotica — lingua che parla di una lingua (la linguistica è metasemiotica). NOTA STORICA: Hjelmslev, Fondamenti cap. 22 (1943), NON Barthes. Barthes negli anni '60 popolarizza il diagramma, ma l'invenzione è hjelmsleviana.","segno; codice",denotazioneConnotazione
hj8,hjelmslev,"Forma, non sostanza","La lingua è una forma, non una sostanza. Le differenze tra le lingue sono diversità di forma, non di sostanza.","«Le differenze fra le lingue non si basano su realizzazioni diverse di un tipo unico di sostanza, ma su realizzazioni diverse di un principio di formazione». Esempio: il continuum dei suoni vocalici — il lak (lingua caucasica) ha 3 vocali (i, a, u), lo spagnolo 5 (i, e, a, o, u), l'italiano 7 (con e/ɛ e o/ɔ): la materia sonora è la stessa, le forme differiscono. Conseguenza: «tipi fonetici di validità generale o schemi eterni di idee non si possono costruire empiricamente».","forma",
hj9,hjelmslev,"Biplanarità / Non-conformità","I due piani sono non-conformi: non c'è rapporto biunivoco tra funtivi dell'espressione e funtivi del contenuto.","Non-conformità: la condizione per operare con due piani. Se ci fosse isomorfismo (conformità) tra espressione e contenuto, basterebbe un solo piano. Esempio: il segno latino -ibus: 4 elementi dell'espressione (i, b, u, s) ma solo 2 del contenuto («dativo/ablativo» + «plurale»). Non c'è rapporto biunivoco. Le lingue sono biplanari e non-conformi — per questo hanno figure e si distinguono dai sistemi «simbolici» (uniplanari).","forma; segno",
hj10,hjelmslev,"Simbolico in Hjelmslev","Hjelmslev chiama 'simbolici' i sistemi uniplanari dove l'espressione è isomorfa al contenuto (scacchi, diagrammi).","Per Hjelmslev, i sistemi simbolici sono quelli in cui l'espressione è isomorfa al contenuto: «entità che sono raffigurazioni o emblemi, come il Cristo di Thorvaldsen come simbolo della compassione, la falce e il martello come simbolo del comunismo, la bilancia come simbolo della giustizia». Anche gli scacchi sono un sistema simbolico in Hjelmslev: uniplanare. Confusione terminologica: il 'simbolo' di Saussure è il segno motivato (la bilancia della giustizia «non è del tutto arbitraria»); il 'simbolo' di Peirce è convenzionale; Hjelmslev lo usa per sistemi uniplanari.","segno; forma",
ec1,eco,"Ristretto → Allargato","Il segno, erroneamente ridotto al modello 'ristretto' dell'equivalenza, va riscoperto nel modello 'allargato' dell'inferenza.","Tesi portante di Semiotica e filosofia del linguaggio, cap. 1 (Segno e inferenza). Il segno come equivalenza bidirezionale (significante ↔ significato, definiens ↔ definiendum) è una riduzione storica. Il modello originario — da Ippocrate (semeiotica medica) agli Stoici (condizionale) ad Agostino (modello istruzionale) — era inferenziale: il segno come punto di partenza per un ragionamento, non come etichetta sostituibile.","segno; interpretazione; storia",
ec2,eco,"Ricostruzione storica","Il modello inferenziale del segno era quello ORIGINARIO: la riduzione a equivalenza è effetto storico della cristallizzazione linguistica.","Ricostruzione storica di Eco: Ippocrate (lettura inferenziale dei sintomi) → Aristotele (nella Retorica, segno = premessa di entimema) → Stoici (segno = antecedente di condizionale) → Agostino (modello istruzionale). La cristallizzazione in equivalenza avviene quando il segno linguistico si impone come modello per eccellenza, «incoraggiato dai dizionari e da molta logica formale». Eco dimostra che è legittimo riformulare il segno in senso allargato perché il modello allargato era quello originario.","segno; interpretazione; storia",
ec3,eco,"Criterio di interpretanza","Il segno è sempre ciò che mi apre a qualcosa d'altro: l'interpretante non solo ritraduce ma allarga i confini.","Criterio di interpretanza (da Peirce): ogni interpretante non solo ritraduce l'oggetto immediato, ma ne allarga la comprensione. «Non c'è interpretante che, nell'adeguare il segno che interpreta, non ne sposti sia pure di poco i confini.» Esempio di Eco: dico /padre/ → il termine definisce un predicato a due argomenti → se padre, allora qualcuno che è figlio → si apre una topica argomentativa → dal termine alla proposizione all'argomentazione. Questa è la condanna dell'equivalenza 'piatta'.","interpretazione; segno",
ec4,eco,"Interpretazione come definizione","Interpretare un segno = definire la porzione di contenuto veicolata, nei suoi rapporti con le altre porzioni.","«Interpretare un segno significa definire la porzione di contenuto veicolata, nei suoi rapporti con le altre porzioni derivate dalla segmentazione globale del contenuto.» L'interpretazione è traduzione in altri segni. Possibilità radicale: se l'interpretazione è condotta molto avanti, può mettere in crisi la segmentazione stessa — il modo in cui la forma del contenuto ha segmentato il continuum. Esempio: il concetto di «razza umana», interpretato a fondo, mette in crisi la segmentazione stessa del contenuto «umanità».","interpretazione; significato",
ec5,eco,"Integrazione Hj + Pe","Hjelmslev descrive la FORMA del segno; Peirce spiega come quella forma GENERA significato. Integrazione, non alternativa.","Integrazione cruciale di Eco: non è Hjelmslev OPPURE Peirce, ma Hjelmslev E Peirce. Hjelmslev dà la struttura (forma del contenuto: come il sistema segmenta il continuum). Peirce dà il processo (semiosi illimitata: come il significato si genera e si espande attraverso interpretanti). L'enciclopedia è il punto d'incontro: struttura rizomatica (forma) attraversata da processi interpretativi (semiosi).","segno; forma; interpretazione",
ec6,eco,"Continuum = Ogg. Dinamico","Il continuum di Hjelmslev = l'Oggetto Dinamico di Peirce: ciò che motiva il segno ma di cui il segno non rende ragione.","Riformulazione decisiva: Materia/continuum (Hjelmslev) = Oggetto Dinamico (Peirce): il reale che stimola la produzione del segno. Forma del contenuto = Oggetto Immediato: come il segno presenta quell'oggetto. «Una data civiltà organizza il contenuto in campi, assi, sottosistemi, non sempre coerenti tra loro, spesso articolabili secondo la prospettiva contestuale che si sceglie.» Il significato semiotico è legato al significato conoscitivo: conoscere è segmentare il continuum attraverso segni.","forma; significato; interpretazione",oggettoIdDin
